common,scientific,characteristic,notes,conservation,extant,hall,population
Platypus,Ornithorhynchus anatinus,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",NT,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Koala,Phascolarctos cinereus,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",VU,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES," Koalas were hunted by the Europeans during the 20th century for their fur.  The koala’s biggest threats are habitat destruction and fragmentation. In Queensland, there is a  40% decline of koala populations, and New South Wales, the  population declined by 33%.  In both areas, the koala populations were listed as vulnerable by the Australian government in 2012. "
Tamandua,Tamandua,PLACENTA,"EDENTATES, aka SLOTHS, ARMADILLOS, and ANTEATERS: 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Civet,Civettictis civetta, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Red fox,Vulpes vulpes, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS OF NY STATE,
Walrus,Odobenus rosmarus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",VU,TRUE,HALL OF OCEAN LIFE,"During the 18th and 19th centuries, the walrus was hunted by American and European sealers and whalers.  This almost made the local population of walruses in the Atlantic go extinct.  Global climate change is the main threat to the walrus today.  The worldwide walrus population is about 250,000 walruses."
Raccoon,Procyon lotor, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS OF NY STATE,
Rat,Rattus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Squirrel,Sciuridae, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Mole,Talpa europaea,HOOVES,"ARCHONTANS & INSECTIVORANS, (BATS, SHREWS, MOLES, HEDGEHOGS, PRIMATES): 65 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Giant Eland,Taurotragus derbianus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,MAMMALS AND THEIR EXTINCT RELATIVES,
Opossum,Didelphimorphia,3 MIDDLE EAR BONES,"TRICODONTRIA, MARSUPIALS, MONOTREMES: 200 mya",LC,TRUE,N AMERICAN MAMMALS,
Nine-banded armadillo,Dasypus novemcinctus,PLACENTA ,"EDENTATES, aka SLOTHS, ARMADILLOS, and ANTEATERS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Black Bear,Ursus americanus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Grizzly Bear,Ursus arctos, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Gray Fox,Urocyon cinereoargenteus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Raccoon,Procyon lotor, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS OF NY STATE,
Canada Lynx,Lynx canadensis, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Jaguar,Panthera onca, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",NT,TRUE,N AMERICAN MAMMALS,
Ringtail (cacomistle),Bassariscus astutus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Spotted Skunk,Spilogale, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Striped Skunk,Mephitis mephitis, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
American mink,Neovison vison, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
American Badger,Taxidea taxus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Wolverine, Gulo gulo, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Ermine,Mustela erminea, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
American Marten,Martes americana, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
River Otter,Lontra canadensis, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Black-footed ferret,Mustela nigripes, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",EN,TRUE,N AMERICAN MAMMALS,The black-footed ferret was harvested for their fur.  As prairie dog populations decreased due to control programs and prairie land becoming crop land.  There are about 300 black-footed ferrets in the wild and another 300 in captive breeding facilities in 2016.
Cougar (Mountain Lion),Puma concolor, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Wolf,Canis lupus, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Alaska Brown Bear,Ursus arctos horribilis, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,N AMERICAN MAMMALS,
Coyote,Canis latrans, STIRRUP-SHAPED STAPES ,"CARNIVORES, aka CATS, DOGS, SEALS, and BEARS: 65 mya.",LC,TRUE,MAMMALS OF NY STATE,
North American Beaver,Castor canadensis, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Porcupine,Erethizon dorsatum, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,MAMMALS OF NY STATE,
Western Grey Squirrel,Sciurus griseus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Snowshoe Hare,Lepus americanus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Mountain Beaver,Aplodontia rufa, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Eastern Cottontail,Sylvilagus floridanus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Black-tailed Jackrabbit,Lepus californicus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Antelope Jackrabbit,Lepus alleni, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Abert's Squirrel,Sciurus aberti, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Vole,Microtus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Northern Flying Squirrel,Glaucomys sabrinus, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
Groundhog,Marmota monax, STIRRUP-SHAPED STAPES ,"GLIRES, aka RODENTS and RABBITS: 65 mya",LC,TRUE,N AMERICAN MAMMALS,
American Bison,Bison bison,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",NT,TRUE,N AMERICAN MAMMALS,
Pronghorn,Antilocapra americana,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
Dall Sheep,Ovis dalli,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
Bighorn Sheep,Ovis canadensis,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
Caribou,Rangifer tarandus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",VU,TRUE,N AMERICAN MAMMALS,"The woodland caribou populations disappear from their original southern range because of human development in the caribou habitat.  Worldwide, there are approximately 5 million caribous."
Mountain Goat,Oreamnos americanus,HOOVES,"ARTIODACTYLS, aka PIGS, HIPPOS, CAMELS, DEER, CATTLE: 60 mya",LC,TRUE,N AMERICAN MAMMALS,
